_id,ltable_ID,rtable_ID,ltable_Name,ltable_Price,ltable_Brand,ltable_Screen Size,ltable_RAM,ltable_Hard Drive Capacity,ltable_Processor Type,ltable_Processor Speed,ltable_Operating System,ltable_Clean Name,rtable_Name,rtable_Price,rtable_Brand,rtable_Screen Size,rtable_RAM,rtable_Hard Drive Capacity,rtable_Processor Type,rtable_Processor Speed,rtable_Operating System,rtable_Clean Name,gold
5527,3,824,"HP Stream 14"" Jet Black Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",218.98,HP,14 in,,,Intel Celeron,,Microsoft Windows,Stream Jet Black Intel Celeron N3060,"HP 14 Inch Stream Laptop, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC, 1-year Office 365 Personal included, HDMI",205,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,Stream Intel Celeron N3060,1
5694,3,1131,"HP Stream 14"" Jet Black Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",218.98,HP,14 in,,,Intel Celeron,,Microsoft Windows,Stream Jet Black Intel Celeron N3060,"2018 Newest Business Flagship HP Stream Laptop PC with 1-Year Office 14"" HD WLED-backlit Display Intel Celeron Dual Core-Processor 4GB RAM 32GB eMMC Hard Drive Bluetooth HDMI Webcam Windows 10-Black",258,HP,14 in,4 GB,,,,,2018 Business Flagship Stream Intel Celeron Dual Drive Black,0
5703,3,1149,"HP Stream 14"" Jet Black Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",218.98,HP,14 in,,,Intel Celeron,,Microsoft Windows,Stream Jet Black Intel Celeron N3060,"HP Stream Laptop PC 14-ax020nr (Intel Celeron N3060, 4 GB RAM, 32 GB eMMC) with Office 365 Personal for one year",,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,Stream ax020nr Intel Celeron N3060 GB GB,0
5750,3,1236,"HP Stream 14"" Jet Black Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",218.98,HP,14 in,,,Intel Celeron,,Microsoft Windows,Stream Jet Black Intel Celeron N3060,"2018 HP Stream 14 Inch Laptop Computer, Intel Celeron N3060 1.6GHz, 4GB RAM, 32GB SSD, Windows 10 (Certified Refurbished)",194.99,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,2018 Stream Intel Celeron N3060 SSD Refurbished,0
5767,3,1264,"HP Stream 14"" Jet Black Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",218.98,HP,14 in,,,Intel Celeron,,Microsoft Windows,Stream Jet Black Intel Celeron N3060,"HP 14 Inch Stream Laptop, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC, 1-year Office 365 Personal included, HDMI",205,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,Stream Intel Celeron N3060,1
6066,3,1813,"HP Stream 14"" Jet Black Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",218.98,HP,14 in,,,Intel Celeron,,Microsoft Windows,Stream Jet Black Intel Celeron N3060,"HP 14 Inch Stream Laptop, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC, 1-year Office 365 Personal included, HDMI",205,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,Stream Intel Celeron N3060,1
6495,3,2601,"HP Stream 14"" Jet Black Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",218.98,HP,14 in,,,Intel Celeron,,Microsoft Windows,Stream Jet Black Intel Celeron N3060,"HP Stream Laptop PC 14-ax020nr (Intel Celeron N3060, 4 GB RAM, 32 GB eMMC) with Office 365 Personal for one year",,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,Stream ax020nr Intel Celeron N3060 GB GB,0
6506,3,2622,"HP Stream 14"" Jet Black Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",218.98,HP,14 in,,,Intel Celeron,,Microsoft Windows,Stream Jet Black Intel Celeron N3060,"2018 HP Stream 14 Inch Laptop Computer, Intel Celeron N3060 1.6GHz, 4GB RAM, 32GB SSD, Windows 10 (Certified Refurbished)",194.99,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,2018 Stream Intel Celeron N3060 SSD Refurbished,0
6518,3,2644,"HP Stream 14"" Jet Black Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",218.98,HP,14 in,,,Intel Celeron,,Microsoft Windows,Stream Jet Black Intel Celeron N3060,"2018 HP Stream 14 Inch Laptop Computer, Intel Celeron N3060 1.6GHz, 4GB RAM, 32GB SSD, Windows 10 (Certified Refurbished)",194.99,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,2018 Stream Intel Celeron N3060 SSD Refurbished,0
10461,6,563,"HP 15-bs020WM, 15.6"" Touch Laptop, Windows 10, Intel Pentium N3710 Quad Core Processor, 4GB Memory, 500GB Hard Drive, DVD",322.24,HP,15.6 in,4 GB,500 GB,Intel Pentium Processor N3710,1.6 GHz,Windows 10,bs020WM Touch Intel Pentium N3710 Quad Drive,"HP 15.6-Inch HD Touchscreen Laptop (Intel Quad Core Pentium N3710 1.6GHz, 4GB DDR3L-1600 Memory, 500 GB HDD, DVD Burner, HDMI, HD Webcam, Win 10)",314.87,HP,15.6 in,4 GB,500 GB,AMD,2.5 GHz,Windows 10,Touchscreen Intel Quad Pentium N3710 DDR3L 1600 500 GB Win,1
10593,6,805,"HP 15-bs020WM, 15.6"" Touch Laptop, Windows 10, Intel Pentium N3710 Quad Core Processor, 4GB Memory, 500GB Hard Drive, DVD",322.24,HP,15.6 in,4 GB,500 GB,Intel Pentium Processor N3710,1.6 GHz,Windows 10,bs020WM Touch Intel Pentium N3710 Quad Drive,"HP 15.6-Inch HD Touchscreen Laptop (Intel Quad Core Pentium N3710 1.6GHz, 4GB DDR3L-1600 Memory, 500 GB HDD, DVD Burner, HDMI, HD Webcam, Win 10)",314.87,HP,15.6 in,4 GB,500 GB,AMD,2.5 GHz,Windows 10,Touchscreen Intel Quad Pentium N3710 DDR3L 1600 500 GB Win,1
10641,6,893,"HP 15-bs020WM, 15.6"" Touch Laptop, Windows 10, Intel Pentium N3710 Quad Core Processor, 4GB Memory, 500GB Hard Drive, DVD",322.24,HP,15.6 in,4 GB,500 GB,Intel Pentium Processor N3710,1.6 GHz,Windows 10,bs020WM Touch Intel Pentium N3710 Quad Drive,"HP 15.6-Inch HD Touchscreen Laptop (Intel Quad Core Pentium N3710 1.6GHz, 4GB DDR3L-1600 Memory, 500 GB HDD, DVD Burner, HDMI, HD Webcam, Win 10)",314.87,HP,15.6 in,4 GB,500 GB,AMD,2.5 GHz,Windows 10,Touchscreen Intel Quad Pentium N3710 DDR3L 1600 500 GB Win,1
11420,6,2322,"HP 15-bs020WM, 15.6"" Touch Laptop, Windows 10, Intel Pentium N3710 Quad Core Processor, 4GB Memory, 500GB Hard Drive, DVD",322.24,HP,15.6 in,4 GB,500 GB,Intel Pentium Processor N3710,1.6 GHz,Windows 10,bs020WM Touch Intel Pentium N3710 Quad Drive,"HP 15.6-Inch HD Touchscreen Laptop (Intel Quad Core Pentium N3710 1.6GHz, 4GB DDR3L-1600 Memory, 500 GB HDD, DVD Burner, HDMI, HD Webcam, Win 10)",314.86,HP,15.6 in,4 GB,500 GB,AMD,2.5 GHz,Windows 10,Touchscreen Intel Quad Pentium N3710 DDR3L 1600 500 GB Win,1
11792,6,3004,"HP 15-bs020WM, 15.6"" Touch Laptop, Windows 10, Intel Pentium N3710 Quad Core Processor, 4GB Memory, 500GB Hard Drive, DVD",322.24,HP,15.6 in,4 GB,500 GB,Intel Pentium Processor N3710,1.6 GHz,Windows 10,bs020WM Touch Intel Pentium N3710 Quad Drive,"HP 15.6-Inch HD Touchscreen Laptop (Intel Quad Core Pentium N3710 1.6GHz, 4GB DDR3L-1600 Memory, 500 GB HDD, DVD Burner, HDMI, HD Webcam, Win 10)",314.86,HP,15.6 in,4 GB,500 GB,AMD,2.5 GHz,Windows 10,Touchscreen Intel Quad Pentium N3710 DDR3L 1600 500 GB Win,1
12199,7,648,"HP Stream 14"" Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",45,HP,14.0 in,4 GB,32 Gigabytes,Intel Celeron,"1.60 GHz, with a Max Turbo Speed of 2.48 GHz",Windows 10,Stream Intel Celeron N3060,"HP 14 Inch Stream Laptop, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC, 1-year Office 365 Personal included, HDMI",205,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,Stream Intel Celeron N3060,1
12290,7,818,"HP Stream 14"" Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",45,HP,14.0 in,4 GB,32 Gigabytes,Intel Celeron,"1.60 GHz, with a Max Turbo Speed of 2.48 GHz",Windows 10,Stream Intel Celeron N3060,"2018 HP Stream 14 Inch Laptop Computer, Intel Celeron N3060 1.6GHz, 4GB RAM, 32GB SSD, Windows 10 (Certified Refurbished)",194.99,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,2018 Stream Intel Celeron N3060 SSD Refurbished,0
12367,7,956,"HP Stream 14"" Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",45,HP,14.0 in,4 GB,32 Gigabytes,Intel Celeron,"1.60 GHz, with a Max Turbo Speed of 2.48 GHz",Windows 10,Stream Intel Celeron N3060,"HP 14 Inch Stream Laptop, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC, 1-year Office 365 Personal included, HDMI",205,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,Stream Intel Celeron N3060,1
12535,7,1264,"HP Stream 14"" Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",45,HP,14.0 in,4 GB,32 Gigabytes,Intel Celeron,"1.60 GHz, with a Max Turbo Speed of 2.48 GHz",Windows 10,Stream Intel Celeron N3060,"HP 14 Inch Stream Laptop, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC, 1-year Office 365 Personal included, HDMI",205,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,Stream Intel Celeron N3060,1
12894,7,1923,"HP Stream 14"" Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",45,HP,14.0 in,4 GB,32 Gigabytes,Intel Celeron,"1.60 GHz, with a Max Turbo Speed of 2.48 GHz",Windows 10,Stream Intel Celeron N3060,"HP 14 Inch Stream Laptop, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC, 1-year Office 365 Personal included, HDMI",205,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,Stream Intel Celeron N3060,1
13022,7,2160,"HP Stream 14"" Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",45,HP,14.0 in,4 GB,32 Gigabytes,Intel Celeron,"1.60 GHz, with a Max Turbo Speed of 2.48 GHz",Windows 10,Stream Intel Celeron N3060,"2018 HP Stream 14 Inch Laptop Computer, Intel Celeron N3060 1.6GHz, 4GB RAM, 32GB SSD, Windows 10 (Certified Refurbished)",194.99,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,2018 Stream Intel Celeron N3060 SSD Refurbished,0
13038,7,2187,"HP Stream 14"" Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",45,HP,14.0 in,4 GB,32 Gigabytes,Intel Celeron,"1.60 GHz, with a Max Turbo Speed of 2.48 GHz",Windows 10,Stream Intel Celeron N3060,"HP 14 Inch Stream Laptop, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC, 1-year Office 365 Personal included, HDMI",205,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,Stream Intel Celeron N3060,1
13375,7,2805,"HP Stream 14"" Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",45,HP,14.0 in,4 GB,32 Gigabytes,Intel Celeron,"1.60 GHz, with a Max Turbo Speed of 2.48 GHz",Windows 10,Stream Intel Celeron N3060,"2018 Newest Business Flagship HP Stream Laptop PC with 1-Year Office 14"" HD WLED-backlit Display Intel Celeron Dual Core-Processor 4GB RAM 32GB eMMC Hard Drive Bluetooth HDMI Webcam Windows 10-Black",279,HP,14 in,4 GB,,,,,2018 Business Flagship Stream Intel Celeron Dual Drive Black,0
13469,7,2978,"HP Stream 14"" Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",45,HP,14.0 in,4 GB,32 Gigabytes,Intel Celeron,"1.60 GHz, with a Max Turbo Speed of 2.48 GHz",Windows 10,Stream Intel Celeron N3060,"HP 14 Inch Stream Laptop, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC, 1-year Office 365 Personal included, HDMI",205,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,Stream Intel Celeron N3060,1
17522,10,1104,"Refurbished HP Stream Laptop 14-ax030wm N3060 CPU, 4GB RAM, 32GB HD",149,HP,,,32,,,,Refurbished Stream ax030wm N3060 CPU,"2018 HP Stream 14 Inch Laptop Computer, Intel Celeron N3060 1.6GHz, 4GB RAM, 32GB SSD, Windows 10 (Certified Refurbished)",194.99,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,2018 Stream Intel Celeron N3060 SSD Refurbished,1
17606,10,1258,"Refurbished HP Stream Laptop 14-ax030wm N3060 CPU, 4GB RAM, 32GB HD",149,HP,,,32,,,,Refurbished Stream ax030wm N3060 CPU,"2018 HP Stream 14 Inch Laptop Computer, Intel Celeron N3060 1.6GHz, 4GB RAM, 32GB SSD, Windows 10 (Certified Refurbished)",194.99,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,2018 Stream Intel Celeron N3060 SSD Refurbished,1
17918,10,1830,"Refurbished HP Stream Laptop 14-ax030wm N3060 CPU, 4GB RAM, 32GB HD",149,HP,,,32,,,,Refurbished Stream ax030wm N3060 CPU,"2018 HP Stream 14 Inch Laptop Computer, Intel Celeron N3060 1.6GHz, 4GB RAM, 32GB SSD, Windows 10 (Certified Refurbished)",194.99,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,2018 Stream Intel Celeron N3060 SSD Refurbished,1
18362,10,2644,"Refurbished HP Stream Laptop 14-ax030wm N3060 CPU, 4GB RAM, 32GB HD",149,HP,,,32,,,,Refurbished Stream ax030wm N3060 CPU,"2018 HP Stream 14 Inch Laptop Computer, Intel Celeron N3060 1.6GHz, 4GB RAM, 32GB SSD, Windows 10 (Certified Refurbished)",194.99,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,2018 Stream Intel Celeron N3060 SSD Refurbished,1
18518,10,2930,"Refurbished HP Stream Laptop 14-ax030wm N3060 CPU, 4GB RAM, 32GB HD",149,HP,,,32,,,,Refurbished Stream ax030wm N3060 CPU,"2018 HP Stream 14 Inch Laptop Computer, Intel Celeron N3060 1.6GHz, 4GB RAM, 32GB SSD, Windows 10 (Certified Refurbished)",194.99,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,2018 Stream Intel Celeron N3060 SSD Refurbished,1
37334,22,202,"HP Stream 14-ax020nr 14"" Laptop, Windows 10 Home, Office 365 Personal 1-year subscription included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",298.99,HP,"14.0""",4 GB,32 GB,Intel Celeron,1.6 Hz,Windows 10,Stream ax020nr Intel Celeron N3060,"2018 HP Stream 14 Inch Laptop Computer, Intel Celeron N3060 1.6GHz, 4GB RAM, 32GB SSD, Windows 10 (Certified Refurbished)",194.99,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,2018 Stream Intel Celeron N3060 SSD Refurbished,0
37455,22,423,"HP Stream 14-ax020nr 14"" Laptop, Windows 10 Home, Office 365 Personal 1-year subscription included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",298.99,HP,"14.0""",4 GB,32 GB,Intel Celeron,1.6 Hz,Windows 10,Stream ax020nr Intel Celeron N3060,"HP Stream Laptop PC 14-ax020nr (Intel Celeron N3060, 4 GB RAM, 32 GB eMMC) with Office 365 Personal for one year",,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,Stream ax020nr Intel Celeron N3060 GB GB,1
37698,22,867,"HP Stream 14-ax020nr 14"" Laptop, Windows 10 Home, Office 365 Personal 1-year subscription included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",298.99,HP,"14.0""",4 GB,32 GB,Intel Celeron,1.6 Hz,Windows 10,Stream ax020nr Intel Celeron N3060,"2018 Newest Business Flagship HP Stream Laptop PC with 1-Year Office 14"" HD WLED-backlit Display Intel Celeron Dual Core-Processor 4GB RAM 32GB eMMC Hard Drive Bluetooth HDMI Webcam Windows 10-Black",272.54,HP,14 in,4 GB,,,,,2018 Business Flagship Stream Intel Celeron Dual Drive Black,0
37710,22,889,"HP Stream 14-ax020nr 14"" Laptop, Windows 10 Home, Office 365 Personal 1-year subscription included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",298.99,HP,"14.0""",4 GB,32 GB,Intel Celeron,1.6 Hz,Windows 10,Stream ax020nr Intel Celeron N3060,"2018 Newest Business Flagship HP Stream Laptop PC with 1-Year Office 14"" HD WLED-backlit Display Intel Celeron Dual Core-Processor 4GB RAM 32GB eMMC Hard Drive Bluetooth HDMI Webcam Windows 10-Black",272.54,HP,14 in,4 GB,,,,,2018 Business Flagship Stream Intel Celeron Dual Drive Black,0
37719,22,907,"HP Stream 14-ax020nr 14"" Laptop, Windows 10 Home, Office 365 Personal 1-year subscription included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",298.99,HP,"14.0""",4 GB,32 GB,Intel Celeron,1.6 Hz,Windows 10,Stream ax020nr Intel Celeron N3060,"HP Stream Laptop PC 14-ax020nr (Intel Celeron N3060, 4 GB RAM, 32 GB eMMC) with Office 365 Personal for one year",,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,Stream ax020nr Intel Celeron N3060 GB GB,1
37722,22,911,"HP Stream 14-ax020nr 14"" Laptop, Windows 10 Home, Office 365 Personal 1-year subscription included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",298.99,HP,"14.0""",4 GB,32 GB,Intel Celeron,1.6 Hz,Windows 10,Stream ax020nr Intel Celeron N3060,"2018 Newest Business Flagship HP Stream Laptop PC with 1-Year Office 14"" HD WLED-backlit Display Intel Celeron Dual Core-Processor 4GB RAM 32GB eMMC Hard Drive Bluetooth HDMI Webcam Windows 10-Black",272.54,HP,14 in,4 GB,,,,,2018 Business Flagship Stream Intel Celeron Dual Drive Black,0
37742,22,950,"HP Stream 14-ax020nr 14"" Laptop, Windows 10 Home, Office 365 Personal 1-year subscription included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",298.99,HP,"14.0""",4 GB,32 GB,Intel Celeron,1.6 Hz,Windows 10,Stream ax020nr Intel Celeron N3060,"2018 HP Stream 14 Inch Laptop Computer, Intel Celeron N3060 1.6GHz, 4GB RAM, 32GB SSD, Windows 10 (Certified Refurbished)",194.99,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,2018 Stream Intel Celeron N3060 SSD Refurbished,0
37754,22,972,"HP Stream 14-ax020nr 14"" Laptop, Windows 10 Home, Office 365 Personal 1-year subscription included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",298.99,HP,"14.0""",4 GB,32 GB,Intel Celeron,1.6 Hz,Windows 10,Stream ax020nr Intel Celeron N3060,"2018 HP Stream 14 Inch Laptop Computer, Intel Celeron N3060 1.6GHz, 4GB RAM, 32GB SSD, Windows 10 (Certified Refurbished)",194.99,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,2018 Stream Intel Celeron N3060 SSD Refurbished,0
37807,22,1066,"HP Stream 14-ax020nr 14"" Laptop, Windows 10 Home, Office 365 Personal 1-year subscription included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",298.99,HP,"14.0""",4 GB,32 GB,Intel Celeron,1.6 Hz,Windows 10,Stream ax020nr Intel Celeron N3060,"HP 14 Inch Stream Laptop, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC, 1-year Office 365 Personal included, HDMI",205,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,Stream Intel Celeron N3060,0
