_id,ltable_ID,rtable_ID,ltable_Name,ltable_Price,ltable_Brand,ltable_Screen Size,ltable_RAM,ltable_Hard Drive Capacity,ltable_Processor Type,ltable_Processor Speed,ltable_Operating System,ltable_Clean Name,rtable_Name,rtable_Price,rtable_Brand,rtable_Screen Size,rtable_RAM,rtable_Hard Drive Capacity,rtable_Processor Type,rtable_Processor Speed,rtable_Operating System,rtable_Clean Name,gold
513802,303,2064,"2016 Newest HP Pavilion 15t Gaming Laptop with 15.6 FHD Touchscreen ( Intel i5 Processor, 16GB RAM, 240GB SSD, 15.6 Inch FHD (1920 x 1080) Touchscreen, Windows 10)",775.95,HP,15.6,,,,,,2016 Pavilion 15t Touchscreen Intel i5 240GB SSD 1920 x 1080 Touchscreen,"2018 Newest Premium HP 15.6” Touchscreen HD Laptop, Intel Dual Core i3-7100U Processor 2.40GHz, 8GB DDR4 RAM, 1TB HDD, HDMI, Bluetooth, Webcam, HD Graphics 620, DVD-RW, 8-Hours Battery, Win 10",469.99,HP,15.6 in,8 GB,1 TB,Intel,2.4 GHz,Windows 10,2018 Premium 6” Touchscreen Intel Dual i3 7100U 40GHz 620 Hours Battery Win,0
2199,1,929,"HP Stream 14-ax030wm 14” Smoke Gray, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron Processor N3060, 4GB Memory, 32GB Storage",219.0,HP,14 in,4 GB,32 GB,Intel Celeron Processor N3060,1.6 Hz,Windows 10,Stream ax030wm 14” Smoke Gray Intel Celeron N3060,"HP Stream Laptop PC 14-ax020nr (Intel Celeron N3060, 4 GB RAM, 32 GB eMMC) with Office 365 Personal for one year",,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,Stream ax020nr Intel Celeron N3060 GB GB,0
2742,1,1923,"HP Stream 14-ax030wm 14” Smoke Gray, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron Processor N3060, 4GB Memory, 32GB Storage",219.0,HP,14 in,4 GB,32 GB,Intel Celeron Processor N3060,1.6 Hz,Windows 10,Stream ax030wm 14” Smoke Gray Intel Celeron N3060,"HP 14 Inch Stream Laptop, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC, 1-year Office 365 Personal included, HDMI",205.0,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,Stream Intel Celeron N3060,1
12367,7,956,"HP Stream 14"" Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",45.0,HP,14.0 in,4 GB,32 Gigabytes,Intel Celeron,"1.60 GHz, with a Max Turbo Speed of 2.48 GHz",Windows 10,Stream Intel Celeron N3060,"HP 14 Inch Stream Laptop, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC, 1-year Office 365 Personal included, HDMI",205.0,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,Stream Intel Celeron N3060,1
209726,123,2952,"HP Stream 14"" Laptop, Windows 10 Home, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage, Refurbished",149.0,HP,"14.0""",4 GB,32 GB,Intel Celeron,"1.60 GHz, with a Max Turbo Speed of 2.48 GHz",Windows 10,Stream Intel Celeron N3060 Refurbished,"2018 HP Stream 14 Inch Laptop Computer, Intel Celeron N3060 1.6GHz, 4GB RAM, 32GB SSD, Windows 10 (Certified Refurbished)",194.99,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,2018 Stream Intel Celeron N3060 SSD Refurbished,1
937510,556,1563,"Dell Inspiron 15 3000, 15.6-inch HD, Intel Celeron Processor N3060, 4GB 1600MHz DDR, 500GB 5400 RPM HDD",249.0,Dell,15.6 in,4 GB,500 GB,Intel Celeron,2.48 GHz,Windows 10 Home 64-bit English,Inspiron 3000 Intel Celeron N3060 1600MHz DDR RPM,"2018 Newest Premium Dell Inspiron 15.6"" HD LED-backlit Display Laptop PC Intel Celeron Dual-Core Processor 4GB RAM 500GB HDD WiFi HDMI DVD-RW Webcam Bluetooth MaxxAudio Windows 10-Black",309.0,Dell,15.6 in,4 GB,500 GB,,1.6 GHz,Windows 10,2018 Premium Inspiron Intel Celeron Dual Black,1
1526475,2194,2137,"Acer Aspire E5-575-5493 Core i5-7200U Dual-Core 2.5GHz 4GB 1TB DVD±RW 15.6"" LED Notebook W10H w/Cam (Obsidian Black) - Refurbished",139.0,Acer,"15.6\""",4 GB,1 TB,,,Microsoft Windows,Aspire E5 575 5493 i5 7200U Dual 5GHz DVD±RW Notebook W10H w Cam Obsidian Black Refurbished,"Acer Aspire E 15 E5-575-33BM 15.6-Inch FHD Notebook (Intel Core i3-7100U 7th Generation , 4GB DDR4, 1TB 5400RPM HD, Intel HD Graphics 620, Windows 10 Home), Obsidian Black",349.99,Acer,15.6 in,4 GB,1 TB,Intel,2.4 GHz,Windows 10,Aspire E E5 575 33BM Notebook Intel i3 7100U 7th Intel 620 Obsidian Black,0
216740,128,298,"HP Pavilion 15-Cc066Nr 15.6"" Laptop, Windows 10 Home, Touchscreen, Intel Core i3-7100U Dual-Core Processor, 8GB RAM, 1TB Hard Drive",549.99,HP,"15.6""",8 GB,1 TB,Intel Core i3,2.40 GHz,Windows 10,Pavilion Cc066Nr Touchscreen Intel i3 7100U Dual Drive,"HP Flagship 15.6"" HD Touchscreen Signature Laptop - Intel Core i3-7100u 2.40 GHz, 8 GB DDR4 Memory, 1 TB HDD, DVD Burner, HDMI, HD Webcam, Bluetooth, Win 10",449.99,HP,15.6 in,8 GB,1 TB,,2.7 GHz,Windows 10,Flagship Touchscreen Intel i3 7100u 40 GHz GB TB Win,0
1491265,2111,1397,"Refurbished Acer Chromebook 11.6 denim white CB3-131-C3KD Intel Celeron, 2GB, 16GB SSD",145.23,Acer,,,,,,,Refurbished Chromebook denim white CB3 131 C3KD Intel Celeron 2GB SSD,"Acer Chromebook CB3-131-C3SZ 11.6-Inch Laptop (Intel Celeron N2840 Dual-Core Processor,2 GB RAM,16 GB Solid State Drive,Chrome), White(Certified Refurbished)",149.99,Acer,11.6 in,2 GB,16 GB,Intel,,Chrome OS,Chromebook CB3 131 C3SZ Intel Celeron N2840 Dual GB GB Drive White Refurbished,0
937628,556,2862,"Dell Inspiron 15 3000, 15.6-inch HD, Intel Celeron Processor N3060, 4GB 1600MHz DDR, 500GB 5400 RPM HDD",249.0,Dell,15.6 in,4 GB,500 GB,Intel Celeron,2.48 GHz,Windows 10 Home 64-bit English,Inspiron 3000 Intel Celeron N3060 1600MHz DDR RPM,"2018 Newest Premium Dell Inspiron 15.6"" HD LED-backlit Display Laptop PC Intel Celeron Dual-Core Processor 4GB RAM 500GB HDD WiFi HDMI DVD-RW Webcam Bluetooth MaxxAudio Windows 10-Black",309.0,Dell,15.6 in,4 GB,500 GB,,1.6 GHz,Windows 10,2018 Premium Inspiron Intel Celeron Dual Black,1
959456,634,1013,"2017 Dell Black 15.6"" Inspiron i3552 Laptop PC with Intel Celeron N3050 Processor, 4GB Memory, 500GB Hard Drive and Windows 10 Home",349.0,Dell,15.6,4.00 GB,500.00 GB,Intel Celeron,1.60 GHz,Windows 10,2017 Black Inspiron i3552 Intel Celeron N3050 Drive,"2018 Newest Premium Dell Inspiron 15.6"" HD LED-backlit Display Laptop PC Intel Celeron Dual-Core Processor 4GB RAM 500GB HDD WiFi HDMI DVD-RW Webcam Bluetooth MaxxAudio Windows 10-Black",309.0,Dell,15.6 in,4 GB,500 GB,,1.6 GHz,Windows 10,2018 Premium Inspiron Intel Celeron Dual Black,1
1019615,847,2040,"Dell Inspiron Pro 15.6"" Notebook with Intel i3-7100U, 8GB 1TB HDD, Black",561.52,Dell,15.60 Inches,8 Gigabytes,1 Terabytes,Intel i3-7100U,2.4 Gigahertz,Windows 10 Pro (English),Inspiron Notebook Intel i3 7100U Black,"2018 Newest Dell Premium Business Flagship Laptop PC 15.6"" HD LED-backlit Display Intel i3-7100U Processor 8GB DDR4 RAM 1TB HDD HDMI DVD-RW Bluetooth Webcam MaxxAudio Windows 10-Black",460.0,Dell,15.6 in,8 GB,1 TB,Intel,2.4 GHz,Windows 10,2018 Premium Business Flagship Intel i3 7100U Black,1
37698,22,867,"HP Stream 14-ax020nr 14"" Laptop, Windows 10 Home, Office 365 Personal 1-year subscription included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",298.99,HP,"14.0""",4 GB,32 GB,Intel Celeron,1.6 Hz,Windows 10,Stream ax020nr Intel Celeron N3060,"2018 Newest Business Flagship HP Stream Laptop PC with 1-Year Office 14"" HD WLED-backlit Display Intel Celeron Dual Core-Processor 4GB RAM 32GB eMMC Hard Drive Bluetooth HDMI Webcam Windows 10-Black",272.54,HP,14 in,4 GB,,,,,2018 Business Flagship Stream Intel Celeron Dual Drive Black,0
959502,634,1519,"2017 Dell Black 15.6"" Inspiron i3552 Laptop PC with Intel Celeron N3050 Processor, 4GB Memory, 500GB Hard Drive and Windows 10 Home",349.0,Dell,15.6,4.00 GB,500.00 GB,Intel Celeron,1.60 GHz,Windows 10,2017 Black Inspiron i3552 Intel Celeron N3050 Drive,"2018 Newest Premium Dell Inspiron 15.6"" HD LED-backlit Display Laptop PC Intel Celeron Dual-Core Processor 4GB RAM 500GB HDD WiFi HDMI DVD-RW Webcam Bluetooth MaxxAudio Windows 10-Black",309.0,Dell,15.6 in,4 GB,500 GB,,1.6 GHz,Windows 10,2018 Premium Inspiron Intel Celeron Dual Black,1
1493371,2116,1331,"Refurbished Acer Aspire ES1-111M-C37Q 11.6-Inch Notebook (Intel Celeron N2840 Dual-Core, 2 GB RAM, Windows 8.1)",158.99,Acer,11.6,,,,,,Refurbished Aspire ES1 111M C37Q Notebook Intel Celeron N2840 Dual GB,"Acer Chromebook CB3-131-C3SZ 11.6-Inch Laptop (Intel Celeron N2840 Dual-Core Processor,2 GB RAM,16 GB Solid State Drive,Chrome), White(Certified Refurbished)",149.99,Acer,11.6 in,2 GB,16 GB,Intel,,Chrome OS,Chromebook CB3 131 C3SZ Intel Celeron N2840 Dual GB GB Drive White Refurbished,0
252909,149,1465,"HP Flagship High Performance 15.6"" HD Touchscreen Laptop PC, Premium Flagship Intel Quad-Core Pentium N3710 Processor, 4GB RAM, 500GB HDD, SuperMulti DVD Burner, Webcam, HDMI, Wi-Fi, USB 3.0, Windows",389.0,HP,,4.00 GB,500.00 GB,Intel Pentium,1.60 GHz,Windows 10,Flagship Touchscreen Premium Flagship Intel Quad Pentium N3710 SuperMulti Wi Fi,"HP 15.6-Inch HD Touchscreen Laptop (Intel Quad Core Pentium N3710 1.6GHz, 4GB DDR3L-1600 Memory, 500 GB HDD, DVD Burner, HDMI, HD Webcam, Win 10)",314.86,HP,15.6 in,4 GB,500 GB,AMD,2.5 GHz,Windows 10,Touchscreen Intel Quad Pentium N3710 DDR3L 1600 500 GB Win,0
770967,456,2029,"HP Stream 14"" Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",68.0,HP,14.0 in,4 GB,32  GB,Intel Celeron,"1.60 GHz, with a Max Turbo Speed of 2.48 GHz",Windows 10,Stream Intel Celeron N3060,"HP Stream Laptop PC 14-ax020nr (Intel Celeron N3060, 4 GB RAM, 32 GB eMMC) with Office 365 Personal for one year",,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,Stream ax020nr Intel Celeron N3060 GB GB,0
1280381,1447,2109,"Lenovo Ideapad 320 15.6"" HD Touchscreen Notebook, Intel Core i5-8250U Upto 3.4GHz, 8GB DDR4, 1TB SSD, HDMI, Card Reader, DVD-RW, USB, Wifi, Bluetooth, Intel UHD Graphics 620, Windows 10 Pro 64Bit",899.99,Lenovo,"15.6\""",8 GB,1 TB,,,Microsoft Windows,Ideapad 320 Touchscreen Notebook Intel i5 8250U Upto 4GHz SSD Reader Intel UHD 620 64Bit,"2018 Lenovo Business Flagship Laptop PC 15.6"" Anti-Glare Touchscreen Intel 8th Gen i5-8250U Quad-Core Processor 12GB DDR4 RAM 1TB HDD DVD-RW Webcam HDMI Dolby Audio Windows 10",599.0,Lenovo,15.6 in,8 GB,1 TB,Intel,1.6 GHz,windows 10,2018 Business Flagship Touchscreen Intel 8th i5 8250U Quad 12GB,1
11420,6,2322,"HP 15-bs020WM, 15.6"" Touch Laptop, Windows 10, Intel Pentium N3710 Quad Core Processor, 4GB Memory, 500GB Hard Drive, DVD",322.24,HP,15.6 in,4 GB,500 GB,Intel Pentium Processor N3710,1.6 GHz,Windows 10,bs020WM Touch Intel Pentium N3710 Quad Drive,"HP 15.6-Inch HD Touchscreen Laptop (Intel Quad Core Pentium N3710 1.6GHz, 4GB DDR3L-1600 Memory, 500 GB HDD, DVD Burner, HDMI, HD Webcam, Win 10)",314.86,HP,15.6 in,4 GB,500 GB,AMD,2.5 GHz,Windows 10,Touchscreen Intel Quad Pentium N3710 DDR3L 1600 500 GB Win,1
411815,243,1207,"2018 Newest Premium HP 15.6? Touchscreen HD Laptop, Intel Dual Core i3-7100U Processor 2.40GHz, 8GB DDR4 RAM, 1TB HDD, HDMI, Bluetooth, Webcam, HD Graphics 620, DVD-RW, 8-Hours Battery, Win 10",529.0,HP,15.6 in,8.00 GB,1.00 TB,"Intel Core i3, Intel Core i3-7100u",2.40 GHz,Windows 10,2018 Premium Touchscreen Intel Dual i3 7100U 40GHz 620 Hours Battery Win,"2018 Newest Premium HP 15.6” Touchscreen HD Laptop, Intel Dual Core i3-7100U Processor 2.40GHz, 8GB DDR4 RAM, 1TB HDD, HDMI, Bluetooth, Webcam, HD Graphics 620, DVD-RW, 8-Hours Battery, Win 10",469.99,HP,15.6 in,8 GB,1 TB,Intel,2.4 GHz,Windows 10,2018 Premium 6” Touchscreen Intel Dual i3 7100U 40GHz 620 Hours Battery Win,1
50534,29,2688,"HP Stream 14-ax067nr 14"" Laptop, Windows 10 Home, Intel Celeron N3060 Dual-Core Processor, 4GB RAM, 32GB Flash Storage",219.99,HP,"14.0""",4 GB,32 GB,Intel Celeron,1.6 Hz,Windows 10,Stream ax067nr Intel Celeron N3060 Dual,"2018 HP Stream 14 Inch Laptop Computer, Intel Celeron N3060 1.6GHz, 4GB RAM, 32GB SSD, Windows 10 (Certified Refurbished)",194.99,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,2018 Stream Intel Celeron N3060 SSD Refurbished,0
687137,407,337,"Refurbished HP Zbook 17 17.3"" Laptop, Windows 10 Pro, Intel Core i5-4300M Processor, 8GB RAM, 256GB Solid State Drive",510.58,HP,"17.3""",8 GB,256 GB,Intel Core i5,2.60 GHz,Windows 10,Refurbished Zbook 17 17 Intel i5 4300M Drive,"HP 17.3"" HD+ Notebook 17-x047cl, Intel Core i3-6006U DC Processor, 8GB Memory, 1TB Hard Drive, Backlit Keyboard, Optical Drive, HD Webcam, Windows 10 Home (Certified Refurbished)",359.99,HP,17.3 in,8 GB,,,,,17 Notebook 17 x047cl Intel i3 6006U Drive Drive Refurbished,0
513383,303,1295,"2016 Newest HP Pavilion 15t Gaming Laptop with 15.6 FHD Touchscreen ( Intel i5 Processor, 16GB RAM, 240GB SSD, 15.6 Inch FHD (1920 x 1080) Touchscreen, Windows 10)",775.95,HP,15.6,,,,,,2016 Pavilion 15t Touchscreen Intel i5 240GB SSD 1920 x 1080 Touchscreen,"2018 Newest Premium HP 15.6” Touchscreen HD Laptop, Intel Dual Core i3-7100U Processor 2.40GHz, 8GB DDR4 RAM, 1TB HDD, HDMI, Bluetooth, Webcam, HD Graphics 620, DVD-RW, 8-Hours Battery, Win 10",469.99,HP,15.6 in,8 GB,1 TB,Intel,2.4 GHz,Windows 10,2018 Premium 6” Touchscreen Intel Dual i3 7100U 40GHz 620 Hours Battery Win,0
218238,128,3046,"HP Pavilion 15-Cc066Nr 15.6"" Laptop, Windows 10 Home, Touchscreen, Intel Core i3-7100U Dual-Core Processor, 8GB RAM, 1TB Hard Drive",549.99,HP,"15.6""",8 GB,1 TB,Intel Core i3,2.40 GHz,Windows 10,Pavilion Cc066Nr Touchscreen Intel i3 7100U Dual Drive,"HP Flagship 15.6"" HD Touchscreen Signature Laptop - Intel Core i3-7100u 2.40 GHz, 8 GB DDR4 Memory, 1 TB HDD, DVD Burner, HDMI, HD Webcam, Bluetooth, Win 10",449.99,HP,15.6 in,8 GB,1 TB,,2.7 GHz,Windows 10,Flagship Touchscreen Intel i3 7100u 40 GHz GB TB Win,0
706508,418,1728,"Newest HP Envy 15t High Performance Laptop PC with Full HD Touchscreen ( Intel i7 Processor, 8 GB RAM, 1TB HDD + 128 GB SSD, 15.6 Inch FHD (1920 x 1080) Touchscreen, Windows 10)",943.95,HP,,,1,,,,Envy 15t Full Touchscreen Intel i7 GB 128 GB SSD 1920 x 1080 Touchscreen,"HP Flagship 15.6"" HD Touchscreen Signature Laptop - Intel Core i3-7100u 2.40 GHz, 8 GB DDR4 Memory, 1 TB HDD, DVD Burner, HDMI, HD Webcam, Bluetooth, Win 10",449.99,HP,15.6 in,8 GB,1 TB,,2.7 GHz,Windows 10,Flagship Touchscreen Intel i3 7100u 40 GHz GB TB Win,0
274497,162,717,HP Flagship High Performance 15.6 Inch HD Touchscreen Laptop PC| Intel Pentium N3710 Quad-Core| 1.60 GHz| 4GB RAM| 500GB HDD| DVDRW| WIFI| Windows 10 (Black),389.0,HP,,4.00 GB,500.00 GB,Intel Pentium,1.60 GHz,Windows 10,Flagship Touchscreen Intel Pentium N3710 Quad 60 GHz Black,"HP 15.6-Inch HD Touchscreen Laptop (Intel Quad Core Pentium N3710 1.6GHz, 4GB DDR3L-1600 Memory, 500 GB HDD, DVD Burner, HDMI, HD Webcam, Win 10)",314.87,HP,15.6 in,4 GB,500 GB,AMD,2.5 GHz,Windows 10,Touchscreen Intel Quad Pentium N3710 DDR3L 1600 500 GB Win,0
514222,303,2834,"2016 Newest HP Pavilion 15t Gaming Laptop with 15.6 FHD Touchscreen ( Intel i5 Processor, 16GB RAM, 240GB SSD, 15.6 Inch FHD (1920 x 1080) Touchscreen, Windows 10)",775.95,HP,15.6,,,,,,2016 Pavilion 15t Touchscreen Intel i5 240GB SSD 1920 x 1080 Touchscreen,"2018 Newest Premium HP 15.6” Touchscreen HD Laptop, Intel Dual Core i3-7100U Processor 2.40GHz, 8GB DDR4 RAM, 1TB HDD, HDMI, Bluetooth, Webcam, HD Graphics 620, DVD-RW, 8-Hours Battery, Win 10",469.99,HP,15.6 in,8 GB,1 TB,Intel,2.4 GHz,Windows 10,2018 Premium 6” Touchscreen Intel Dual i3 7100U 40GHz 620 Hours Battery Win,0
877767,520,2403,"HP HD LED 14"" Stream Notebook, Intel Celeron N3060, 4GB RAM, 32GB HDD, Win 10",189.99,HP,14,,32,,,Microsoft Windows,Stream Notebook Intel Celeron N3060 Win,"HP Stream Laptop PC 14-ax020nr (Intel Celeron N3060, 4 GB RAM, 32 GB eMMC) with Office 365 Personal for one year",,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,Stream ax020nr Intel Celeron N3060 GB GB,0
38811,22,2909,"HP Stream 14-ax020nr 14"" Laptop, Windows 10 Home, Office 365 Personal 1-year subscription included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",298.99,HP,"14.0""",4 GB,32 GB,Intel Celeron,1.6 Hz,Windows 10,Stream ax020nr Intel Celeron N3060,"HP Stream Laptop PC 14-ax020nr (Intel Celeron N3060, 4 GB RAM, 32 GB eMMC) with Office 365 Personal for one year",,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,Stream ax020nr Intel Celeron N3060 GB GB,0
12535,7,1264,"HP Stream 14"" Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",45.0,HP,14.0 in,4 GB,32 Gigabytes,Intel Celeron,"1.60 GHz, with a Max Turbo Speed of 2.48 GHz",Windows 10,Stream Intel Celeron N3060,"HP 14 Inch Stream Laptop, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC, 1-year Office 365 Personal included, HDMI",205.0,HP,14 in,4 GB,32 GB,Intel,1.6 GHz,Windows 10,Stream Intel Celeron N3060,1
217160,128,1068,"HP Pavilion 15-Cc066Nr 15.6"" Laptop, Windows 10 Home, Touchscreen, Intel Core i3-7100U Dual-Core Processor, 8GB RAM, 1TB Hard Drive",549.99,HP,"15.6""",8 GB,1 TB,Intel Core i3,2.40 GHz,Windows 10,Pavilion Cc066Nr Touchscreen Intel i3 7100U Dual Drive,"HP Flagship 15.6"" HD Touchscreen Signature Laptop - Intel Core i3-7100u 2.40 GHz, 8 GB DDR4 Memory, 1 TB HDD, DVD Burner, HDMI, HD Webcam, Bluetooth, Win 10",449.99,HP,15.6 in,8 GB,1 TB,,2.7 GHz,Windows 10,Flagship Touchscreen Intel i3 7100u 40 GHz GB TB Win,0
